PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME
Day Type 1;H_Depot;8704;928634;Revenue;87H;KTEL_H;Def;9395925;17973804;N15077;OSETH;Def;N38155;OSETH;Def;15:00:00;15:45:00;
Day Type 1;H_Depot;8704;928634;Revenue;87Z;KTEL_H;Def;9395995;17974134;N38155;OSETH;Def;N38155;OSETH;Def;15:45:00;17:10:00;
Day Type 1;H_Depot;8704;928634;Revenue;87E;KTEL_H;Def;9396018;17974218;N38155;OSETH;Def;N15077;OSETH;Def;17:10:00;17:45:00;
Day Type 1;H_Depot;8704;928634;Revenue;87A;KTEL_H;Def;9395959;17973970;N15077;OSETH;Def;N38155;OSETH;Def;18:15:00;18:55:00;
Day Type 1;H_Depot;8704;928634;Revenue;87L;KTEL_H;Def;9395930;17973844;N38155;OSETH;Def;N15077;OSETH;Def;18:55:00;19:30:00;
Day Type 1;H_Depot;8704;928634;Revenue;87L;KTEL_H;Def;9395983;17974080;N15077;OSETH;Def;N38155;OSETH;Def;19:35:00;20:10:00;
Day Type 1;H_Depot;8704;928634;Revenue;87Z;KTEL_H;Def;9395992;17974116;N38155;OSETH;Def;N38155;OSETH;Def;20:10:00;21:35:00;
Day Type 1;H_Depot;8704;928634;Revenue;87F;KTEL_H;Def;9396013;17974202;N38155;OSETH;Def;N15077;OSETH;Def;21:35:00;22:10:00;
Day Type 1;H_Depot;8704;928634;DeadHead;;;;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;22:10:00;22:11:00;
Day Type 1;H_Depot;8801;928635;DeadHead;;;;;;H_Depot;KTEL_H;Def;N34166;OSETH;Def;05:26:00;05:27:00;
Day Type 1;H_Depot;8801;928635;Revenue;88;KTEL_H;Def;9395968;17974004;N34166;OSETH;Def;N15077;OSETH;Def;05:27:00;06:15:00;
Day Type 1;H_Depot;8801;928635;Revenue;88;KTEL_H;Def;9396032;17974294;N15077;OSETH;Def;N34166;OSETH;Def;06:20:00;07:08:00;
